model,type,arm,metric,n,mean,median,q25,q75
llama3.1:8b,complex,comparator,bleu,25,0.0412753314786813,0.033864985683445356,0.030890553181566974,0.04196114906296548
llama3.1:8b,complex,comparator,chrf,25,0.09151270535334761,0.06145504798724862,0.04775916497874126,0.1146248688809526
llama3.1:8b,complex,comparator,chrfpp,25,0.09169974104441969,0.06280316289705967,0.05071989528795813,0.11399042333871495
llama3.1:8b,complex,comparator,comet,25,0.29818904519081113,0.2767349183559418,0.2589797377586365,0.2882906496524811
llama3.1:8b,nominalization,backwards,bleu,25,0.6132060354989233,0.57893006746741,0.30739407647563216,1.0000000000000004
llama3.1:8b,nominalization,backwards,chrf,25,0.8188761419372745,0.8168673627304428,0.6849205833148956,1.0
llama3.1:8b,nominalization,backwards,chrfpp,25,0.8012168748463213,0.7461430169303271,0.6696157831519328,1.0
llama3.1:8b,nominalization,backwards,comet,25,0.8908826899528504,0.8999801278114319,0.8622967004776001,0.9690517783164978
llama3.1:8b,nominalization,comparator,bleu,25,0.1542128366500941,0.08392229812593097,0.0402724819242185,0.2676032275663792
llama3.1:8b,nominalization,comparator,chrf,25,0.29550967970885733,0.22200057383797708,0.07883246144280351,0.48081507867844536
llama3.1:8b,nominalization,comparator,chrfpp,25,0.31129493061578123,0.2200398608036423,0.1098110409766911,0.5044153122235903
llama3.1:8b,nominalization,comparator,comet,25,0.3790824818611145,0.38971439003944397,0.2862066924571991,0.4566665291786194
llama3.1:8b,subject-verb,backwards,bleu,20,0.5088644756273367,0.31947155212313627,0.2415296263147345,1.0000000000000004
llama3.1:8b,subject-verb,backwards,chrf,20,0.691699854484425,0.7978028386318197,0.31622409071222074,1.0
llama3.1:8b,subject-verb,backwards,chrfpp,20,0.6784125941579904,0.7579414417443333,0.30323936393363915,1.0
llama3.1:8b,subject-verb,backwards,comet,20,0.8624622225761414,0.9425484836101532,0.8456649780273438,0.9801498055458069
llama3.1:8b,subject-verb,comparator,bleu,20,0.2867287366082092,0.1597357760615681,0.12703318703865366,0.2661735365101239
llama3.1:8b,subject-verb,comparator,chrf,20,0.3937559468731289,0.25991022880594455,0.11701231701053494,0.5795395241395995
llama3.1:8b,subject-verb,comparator,chrfpp,20,0.39300814161153674,0.2346231640857205,0.14109633483955672,0.5802814099138067
llama3.1:8b,subject-verb,comparator,comet,20,0.6104014709591865,0.5235607624053955,0.464058481156826,0.8032093048095703
llama3.1:8b,subject-verb-object,backwards,bleu,25,0.43940787415563515,0.30213753973567675,0.22957488466614337,0.7598356856515927
llama3.1:8b,subject-verb-object,backwards,chrf,25,0.7104132215657956,0.7564510140678639,0.6223906534237744,0.8426845316492336
llama3.1:8b,subject-verb-object,backwards,chrfpp,25,0.6957076057830228,0.7301128735098562,0.5875665856673272,0.8289042814898941
llama3.1:8b,subject-verb-object,backwards,comet,25,0.8761736130714417,0.9071078300476074,0.8419801592826843,0.9443104863166809
llama3.1:8b,subject-verb-object,comparator,bleu,25,0.08631928313347473,0.033864985683445356,0.033864985683445356,0.04990049701936832
llama3.1:8b,subject-verb-object,comparator,chrf,25,0.17130002937329994,0.0754392727506344,0.05489914783412317,0.20250350714607676
llama3.1:8b,subject-verb-object,comparator,chrfpp,25,0.17660657078391653,0.07890303409684875,0.060706130878364115,0.22372248568773337
llama3.1:8b,subject-verb-object,comparator,comet,25,0.3451550740003586,0.3040677607059479,0.24435186386108398,0.35166245698928833
llama3.1:8b,two-clause,backwards,bleu,25,0.1785923248382024,0.1964073254502565,0.07809849842300637,0.23356898886410016
llama3.1:8b,two-clause,backwards,chrf,25,0.5891098809829565,0.5913898876300975,0.4704676694210343,0.6909799919931069
llama3.1:8b,two-clause,backwards,chrfpp,25,0.5535575910351626,0.52183771190347,0.4320196918797242,0.6682493239878879
llama3.1:8b,two-clause,backwards,comet,25,0.8000093817710876,0.8202542662620544,0.7341685891151428,0.8853701949119568
llama3.1:8b,two-clause,comparator,bleu,25,0.044692820042485176,0.024074859035470342,0.021476912089159056,0.033864985683445356
llama3.1:8b,two-clause,comparator,chrf,25,0.16194019526214853,0.11516389729186423,0.06810081925643835,0.17734457926226593
llama3.1:8b,two-clause,comparator,chrfpp,25,0.16006343786176086,0.11121139433722523,0.06809709273540077,0.16774281399877627
llama3.1:8b,two-clause,comparator,comet,25,0.32773602843284605,0.2947402894496918,0.27164891362190247,0.34387901425361633
